level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	7	2	4	2	160	582	29	25	94.181305	(2)
5	1	7	2	4	3	387	582	18	20	93.284775	G
5	1	7	2	4	4	415	582	28	25	94.425301	(2)
4	1	7	2	5	0	42	615	529	25	-1	
5	1	7	2	5	1	42	615	76	19	96.803947	Where
5	1	7	2	5	2	127	615	86	19	95.600746	seldom
5	1	7	2	5	3	224	615	17	19	94.844040	is
5	1	7	2	5	4	251	615	66	19	96.649170	heard
5	1	7	2	5	5	327	620	13	14	96.757210	a
5	1	7	2	5	6	349	615	154	25	96.324997	discouraging
5	1	7	2	5	7	513	615	58	19	96.609177	word
4	1	7	2	6	0	148	647	343	25	-1	
5	1	7	2	6	1	148	648	17	19	91.089691	D
5	1	7	2	6	2	310	648	32	19	87.579750	A7
5	1	7	2	6	3	435	648	17	19	93.120941	D
5	1	7	2	6	4	462	647	29	25	94.402870	(2)
3	1	7	3	0	0	41	679	429	25	-1	
4	1	7	3	1	0	41	679	429	25	-1	
5	1	7	3	1	1	41	679	47	19	95.560669	And
5	1	7	3	1	2	97	679	38	19	95.560669	the
5	1	7	3	1	3	144	679	60	19	96.414810	skies
5	1	7	3	1	4	213	684	36	14	96.414810	are
5	1	7	3	1	5	259	680	36	18	96.801315	not
5	1	7	3	1	6	305	679	79	25	96.699432	cloudy
5	1	7	3	1	7	393	679	24	19	96.398735	all
5	1	7	3	1	8	427	679	43	25	96.994789	day
2	1	8	0	0	0	40	739	649	2	-1	
3	1	8	1	0	0	40	739	649	2	-1	
4	1	8	1	1	0	40	739	649	2	-1	
5	1	8	1	1	1	40	739	649	2	95.000000	 
2	1	9	0	0	0	54	757	529	285	-1	
3	1	9	1	0	0	54	757	477	188	-1	
4	1	9	1	1	0	55	757	92	20	-1	
5	1	9	1	1	1	55	757	92	20	96.447182	Chorus
4	1	9	1	2	0	55	791	298	25	-1	
5	1	9	1	2	1	55	792	17	19	91.592819	D
5	1	9	1	2	2	141	792	33	19	81.591476	A7
5	1	9	1	2	3	297	792	17	19	93.126022	D
5	1	9	1	2	4	324	791	29	25	96.895386	(2)
4	1	9	1	3	0	56	823	305	25	-1	
5	1	9	1	3	1	56	823	69	19	95.932396	Home
5	1	9	1	3	2	135	823	66	19	95.594711	home
5	1	9	1	3	3	210	828	28	14	95.694649	on
5	1	9	1	3	4	248	823	37	19	96.712120	the
5	1	9	1	3	5	295	828	66	20	96.822388	range
4	1	9	1	4	0	191	855	340	25	-1	
5	1	9	1	4	1	191	856	17	19	92.488144	D
5	1	9	1	4	2	346	856	30	19	92.394722	E7
5	1	9	1	4	3	460	856	33	19	80.194763	A7
5	1	9	1	4	4	502	855	29	25	96.837807	(2)
4	1	9	1	5	0	54	887	453	25	-1	
5	1	9	1	5	1	54	887	76	19	96.359993	Where
5	1	9	1	5	2	139	887	37	19	96.639114	the
5	1	9	1	5	3	185	887	54	19	96.632484	deer
5	1	9	1	5	4	247	887	43	19	96.632484	and
5	1	9	1	5	5	299	887	38	19	96.814026	the
5	1	9	1	5	6	346	887	103	24	96.581688	antelope
5	1	9	1	5	7	459	887	48	25	96.845718	play
4	1	9	1	6	0	146	920	310	25	-1	
5	1	9	1	6	1	146	921	17	19	93.150078	D
5	1	9	1	6	2	173	920	28	25	96.155441	(2)
5	1	9	1	6	3	399	920	18	20	93.090355	G
5	1	9	1	6	4	428	920	28	25	94.648903	(2)
3	1	9	2	0	0	54	952	529	25	-1	
4	1	9	2	1	0	54	952	529	25	-1	
5	1	9	2	1	1	54	952	76	19	96.860847	Where
5	1	9	2	1	2	140	952	86	19	96.341347	seldom
5	1	9	2	1	3	237	952	17	19	96.451279	is
5	1	9	2	1	4	264	952	65	19	96.642181	heard
5	1	9	2	1	5	339	957	13	14	96.783394	a
5	1	9	2	1	6	361	952	154	25	96.115013	discouraging
5	1	9	2	1	7	525	952	58	19	96.655319	word
3	1	9	3	0	0	54	984	449	58	-1	
4	1	9	3	1	0	161	984	342	25	-1	
5	1	9	3	1	1	161	985	17	19	92.122116	D
5	1	9	3	1	2	322	985	33	19	79.304512	A7
5	1	9	3	1	3	448	985	17	19	92.974152	D
5	1	9	3	1	4	475	984	28	25	96.594261	(2)
4	1	9	3	2	0	54	1017	428	25	-1	
5	1	9	3	2	1	54	1017	46	19	96.875732	And
5	1	9	3	2	2	110	1017	37	19	96.151566	the
5	1	9	3	2	3	156	1017	60	19	96.535568	skies
5	1	9	3	2	4	225	1022	36	14	96.535568	are
5	1	9	3	2	5	271	1018	37	18	96.819580	not
5	1	9	3	2	6	317	1017	80	25	95.300491	cloudy
5	1	9	3	2	7	405	1017	24	19	96.951546	all
5	1	9	3	2	8	440	1017	42	25	96.769875	day
2	1	10	0	0	0	40	1061	649	2	-1	
3	1	10	1	0	0	40	1061	649	2	-1	
4	1	10	1	1	0	40	1061	649	2	-1	
5	1	10	1	1	1	40	1061	649	2	95.000000	 
2	1	11	0	0	0	42	1118	588	251	-1	
3	1	11	1	0	0	42	1118	588	251	-1	
4	1	11	1	1	0	111	1118	325	25	-1	
5	1	11	1	1	1	107	1114	12	35	93.291588	D
5	1	11	1	1	2	138	1118	28	25	96.601425	(2)
5	1	11	1	1	3	379	1118	18	20	93.274765	G
5	1	11	1	1	4	408	1118	28	25	95.918518	(2)
4	1	11	1	2	0	43	1149	546	26	-1	
5	1	11	1	2	1	43	1150	53	19	96.963890	How
5	1	11	1	2	2	105	1149	59	20	96.714081	often
5	1	11	1	2	3	174	1151	21	18	95.511383	at
5	1	11	1	2	4	205	1150	58	25	96.861687	night
5	1	11	1	2	5	272	1150	48	19	96.623779	with
5	1	11	1	2	6	329	1150	38	19	96.789261	the
5	1	11	1	2	7	377	1150	98	19	96.594414	heavens
5	1	11	1	2	8	484	1155	27	14	96.575317	so
5	1	11	1	2	9	522	1150	67	25	96.358376	bright
4	1	11	1	3	0	156	1183	324	19	-1	
5	1	11	1	3	1	156	1183	17	19	91.581070	D
5	1	11	1	3	2	334	1183	30	19	89.996437	E7
5	1	11	1	3	3	448	1183	32	19	87.579750	A7
4	1	11	1	4	0	42	1214	458	26	-1	
5	1	11	1	4	1	42	1215	52	19	95.977234	With
5	1	11	1	4	2	103	1215	38	19	96.301292	the
5	1	11	1	4	3	151	1215	62	25	96.862686	lights
5	1	11	1	4	4	221	1214	53	20	96.631989	from
5	1	11	1	4	5	284	1215	37	19	97.003593	the
5	1	11	1	4	6	330	1215	103	25	96.936356	glittering
5	1	11	1	4	7	443	1216	57	18	96.961464	stars
4	1	11	1	5	0	133	1247	356	25	-1	
5	1	11	1	5	1	133	1248	17	19	93.180634	D
5	1	11	1	5	2	160	1247	29	25	94.181305	(2)
5	1	11	1	5	3	432	1247	18	20	93.281754	G
5	1	11	1	5	4	460	1247	29	25	94.137970	(2)
4	1	11	1	6	0	43	1279	587	25	-1	
5	1	11	1	6	1	43	1279	59	19	96.903160	Have
5	1	11	1	6	2	113	1279	2	19	96.131302	|
5	1	11	1	6	3	126	1279	67	19	96.131302	stood
5	1	11	1	6	4	202	1279	60	19	96.632256	there
5	1	11	1	6	5	271	1279	94	19	96.636429	amazed
5	1	11	1	6	6	375	1279	43	19	96.703255	and
5	1	11	1	6	7	428	1279	70	19	96.750412	asked
5	1	11	1	6	8	508	1284	27	14	96.712242	as
5	1	11	1	6	9	545	1279	3	19	94.882339	|
5	1	11	1	6	10	558	1279	72	25	96.605782	gazed
4	1	11	1	7	0	133	1311	320	25	-1	
5	1	11	1	7	1	133	1312	17	19	91.089691	D
5	1	11	1	7	2	227	1312	32	19	91.248871	A7
5	1	11	1	7	3	394	1307	12	35	93.292122	D
5	1	11	1	7	4	425	1311	28	25	96.246330	(2)
4	1	11	1	8	0	43	1343	395	26	-1	
5	1	11	1	8	1	43	1343	13	20	87.663185	If
5	1	11	1	8	2	64	1344	53	19	96.591400	their
5	1	11	1	8	3	125	1344	58	25	96.895050	glory
5	1	11	1	8	4	192	1344	100	19	96.707603	exceeds
5	1	11	1	8	5	301	1344	45	19	96.705605	that
5	1	11	1	8	6	356	1343	23	20	96.613205	of
5	1	11	1	8	7	387	1349	51	14	96.905396	ours
